pmask:255,,
date, calc, real
0,"8,9909","8,9909"
"0,0034722","8,9878","8,8799"
"0,0069445","8,986","8,6579"
"0,010417","8,9871","8,8244"
"0,013889","8,9922","8,7134"
"0,017361","9,0029","9,2129"
"0,020833","9,0205","9,3239"
"0,024306","9,0464","9,0464"
"0,027778","9,0807","8,7689"
"0,03125","9,1181","9,1019"
"0,034722","9,1522","9,7124"
"0,038194","9,1766","9,2684"
"0,041667","9,1847","8,4359"
"0,045139","9,17","8,2694"
"0,048611","9,1261","8,8244"
"0,052083","9,0464","9,0464"
"0,055556","8,9274","8,9354"
"0,059028","8,7771","8,5192"
"0,0625","8,6063","8,1584"
"0,065972","8,4259","7,9364"
"0,069444","8,2467","7,7144"
"0,072917","8,0797","7,4092"
"0,076389","7,9356","7,6312"
"0,079861","7,8254","7,8254"
"0,083333","7,7572","7,9642"
"0,086806","7,7279","8,4359"
"0,090278","7,7318","8,4082"
"0,09375","7,7631","8,3249"
"0,097222","7,8161","8,0752"
"0,10069","7,885","7,7144"
"0,10417","7,964","7,6589"
"0,10764","8,0474","8,0474"
"0,11111","8,1296","8,4359"
"0,11458","8,2057","8,6579"
"0,11806","8,271","8,5469"
"0,12153","8,3207","8,5747"
"0,125","8,3501","8,9354"
"0,12847","8,3545","8,7689"
"0,13194","8,3292","8,1862"
"0,13542","8,2694","8,2694"
"0,13889","8,1722","8,1307"
"0,14236","8,0412","7,8254"
"0,14583","7,882","7,7422"
"0,14931","7,7001","8,1307"
"0,15278","7,5008","8,2972"
"0,15625","7,2898","7,7699"
"0,15972","7,0724","7,3259"
"0,16319","6,8542","6,8542"
"0,16667","6,6403","6,6044"
"0,17014","6,4346","6,3547"
"0,17361","6,2408","6,1882"
"0,17708","6,0626","6,0217"
"0,18056","5,9035","5,9107"
"0,18403","5,7672","5,7997"
"0,1875","5,6574","5,6887"
"0,19097","5,5777","5,5777"
"0,19444","5,5301","5,5499"
"0,19792","5,5101","5,9384"
"0,20139","5,5118","5,7719"
"0,20486","5,5291","5,5777"
"0,20833","5,5559","5,7164"
"0,21181","5,5862","5,9662"
"0,21528","5,614","5,7719"
"0,21875","5,6332","5,6332"
"0,22222","5,6392","5,6332"
"0,22569","5,6332","5,5777"
"0,22917","5,6179","5,6054"
"0,23264","5,5959","5,6332"
"0,23611","5,5699","5,5499"
"0,23958","5,5426","5,5222"
"0,24306","5,5165","5,4667"
"0,24653","5,4944","5,4944"
"0,25","5,4783","5,6332"
"0,25347","5,4671","6,1604"
"0,25694","5,4592","6,1882"
"0,26042","5,4529","5,7997"
"0,26389","5,4466","5,6054"
"0,26736","5,4387","5,5777"
"0,27083","5,4274","5,4389"
"0,27431","5,4112","5,4112"
"0,27778","5,3894","5,3834"
"0,28125","5,3659","5,3834"
"0,28472","5,3457","5,4389"
"0,28819","5,3337","5,4944"
"0,29167","5,3348","5,4389"
"0,29514","5,3541","5,4667"
"0,29861","5,3964","5,4667"
"0,30208","5,4667","5,4667"
"0,30556","5,5675","5,5222"
"0,30903","5,6912","5,3002"
"0,3125","5,8278","5,3557"
"0,31597","5,9674","5,8274"
"0,31944","6,0999","5,9384"
"0,32292","6,2152","6,3824"
"0,32639","6,3035","6,8264"
"0,32986","6,3547","6,3547"
"0,33333","6,3622","6,4379"
"0,33681","6,3332","6,7432"
"0,34028","6,2786","6,7432"
"0,34375","6,2089","6,2714"
"0,34722","6,1349","6,2437"
"0,35069","6,0673","6,1604"
"0,35417","6,0167","6,0494"
"0,35764","5,9939","5,9939"
"0,36111","6,0066","6,0217"
"0,36458","6,0499","5,9384"
"0,36806","6,1163","5,9939"
"0,37153","6,1979","6,2992"
"0,375","6,2869","6,6322"
"0,37847","6,3756","6,9929"
"0,38194","6,4563","6,7987"
"0,38542","6,5212","6,5212"
"0,38889","6,5644","6,9374"
"0,39236","6,5874","6,7432"
"0,39583","6,5937","6,5489"
"0,39931","6,5867","6,4379"
"0,40278","6,5697","6,3269"
"0,40625","6,5463","6,3547"
"0,40972","6,5197","6,4102"
"0,41319","6,4934","6,4934"
"0,41667","6,4702","6,6322"
"0,42014","6,4504","6,7987"
"0,42361","6,4336","6,7709"
"0,42708","6,4194","6,7987"
"0,43056","6,4076","6,8264"
"0,43403","6,3977","6,8264"
"0,4375","6,3894","6,7432"
"0,44097","6,3824","6,3824"
"0,44444","6,3754","6,1049"
"0,44792","6,363","6,0772"
"0,45139","6,339","5,9939"
"0,45486","6,2973","5,8274"
"0,45833","6,2315","5,9384"
"0,46181","6,1354","6,3547"
"0,46528","6,0028","6,2437"
"0,46875","5,8274","5,8274"
"0,47222","5,6062","5,9107"
"0,47569","5,3482","6,2992"
"0,47917","5,0658","6,1049"
"0,48264","4,7713","5,7719"
"0,48611","4,4771","5,2724"
"0,48958","4,1953","4,6342"
"0,49306","3,9383","4,0237"
"0,49653","3,7185","3,7185"
"0,5","3,5455","3,441"
"0,50347","3,4194","3,2467"
"0,50694","3,3373","3,2467"
"0,51042","3,2967","3,0802"
"0,51389","3,295","3,0802"
"0,51736","3,3295","3,33"
"0,52083","3,3975","3,3577"
"0,52431","3,4965","3,4965"
"0,52778","3,6254","3,9127"
"0,53125","3,7903","4,0237"
"0,53472","3,9989","4,329"
"0,53819","4,2588","4,4955"
"0,54167","4,5778","4,6897"
"0,54514","4,9636","5,1059"
"0,54861","5,4238","5,4667"
"0,55208","5,9662","5,9662"
"0,55556","6,5939","6,5767"
"0,55903","7,2917","7,2149"
"0,5625","8,04","8,0197"
"0,56597","8,8191","8,9354"
"0,56944","9,6092","9,6847"
"0,57292","10,391","10,406"
"0,57639","11,144","11,1"
"0,57986","11,849","11,849"
"0,58333","12,489","12,349"
"0,58681","13,058","12,931"
"0,59028","13,553","13,792"
"0,59375","13,97","13,847"
"0,59722","14,305","13,93"
"0,60069","14,556","14,208"
"0,60417","14,719","14,763"
"0,60764","14,791","14,791"
"0,61111","14,77","15,207"
"0,61458","14,665","15,623"
"0,61806","14,487","15,068"
"0,62153","14,246","14,652"
"0,625","13,954","14,513"
"0,62847","13,621","14,208"
"0,63194","13,258","13,57"
"0,63542","12,876","12,876"
"0,63889","12,485","12,404"
"0,64236","12,095","11,738"
"0,64583","11,714","11,488"
"0,64931","11,352","11,211"
"0,65278","11,017","10,489"
"0,65625","10,719","9,7124"
"0,65972","10,466","9,7124"
"0,66319","10,267","10,267"
"0,66667","10,129","10,267"
"0,67014","10,041","10,267"
"0,67361","9,9905","10,378"
"0,67708","9,9649","10,267"
"0,68056","9,951","10,351"
"0,68403","9,9361","10,684"
"0,6875","9,9071","10,267"
"0,69097","9,8512","9,8512"
"0,69444","9,7585","9,4904"
"0,69792","9,6315","9,1852"
"0,70139","9,4759","9,0464"
"0,70486","9,2972","9,3794"
"0,70833","9,1011","9,1297"
"0,71181","8,893","8,6024"
"0,71528","8,6787","8,1584"
"0,71875","8,4637","8,4637"
"0,72222","8,2522","8,4359"
"0,72569","8,0433","7,6034"
"0,72917","7,8347","6,9097"
"0,73264","7,6241","6,5767"
"0,73611","7,4092","6,4102"
"0,73958","7,1876","6,5212"
"0,74306","6,9572","6,6322"
"0,74653","6,7154","6,7154"
"0,75","6,4616","6,8264"
"0,75347","6,2004","6,6322"
"0,75694","5,9382","6,2714"
"0,76042","5,6811","5,9939"
"0,76389","5,4353","5,7442"
"0,76736","5,2072","5,4112"
"0,77083","5,0028","5,1059"
"0,77431","4,8285","4,8285"
"0,77778","4,6884","4,5232"
"0,78125","4,5793","4,329"
"0,78472","4,4957","4,1347"
"0,78819","4,4323","4,0792"
"0,79167","4,3838","4,1625"
"0,79514","4,3447","4,551"
"0,79861","4,3097","4,4122"
"0,80208","4,2735","4,2735"
"0,80556","4,2322","4,107"
"0,80903","4,1885","3,6907"
"0,8125","4,1465","3,663"
"0,81597","4,1104","3,6352"
"0,81944","4,0842","3,6352"
"0,82292","4,0721","3,9405"
"0,82639","4,0783","4,0792"
"0,82986","4,107","4,107"
"0,83333","4,1618","4,107"
"0,83681","4,2457","4,3567"
"0,84028","4,361","4,4677"
"0,84375","4,5102","4,5787"
"0,84722","4,6957","4,5787"
"0,85069","4,9199","5,1059"
"0,85417","5,1854","5,6054"
"0,85764","5,4944","5,4944"
"0,86111","5,8461","5,7997"
"0,86458","6,225","6,1882"
"0,86806","6,6124","5,9939"
"0,87153","6,9895","6,2159"
"0,875","7,3376","6,7709"
"0,87847","7,6379","7,3537"
"0,88194","7,8715","7,8254"
"0,88542","8,0197","8,0197"
"0,88889","8,0687","7,5757"
"0,89236","8,0247","6,7987"
"0,89583","7,8991","6,2437"
"0,89931","7,7029","5,9939"
"0,90278","7,4475","5,9107"
"0,90625","7,144","5,8274"
"0,90972","6,8038","6,2159"
"0,91319","6,4379","6,4379"
"0,91667","6,0587","6,5767"
"0,92014","5,6819","6,5212"
"0,92361","5,3244","6,4657"
"0,92708","5,0028","6,3824"
"0,93056","4,7341","6,2159"
"0,93403","4,5349","5,6054"
"0,9375","4,422","4,8562"
"0,94097","4,4122","4,4122"
"0,94444","4,5147","4,6065"
"0,94792","4,7082","4,44"
"0,95139","4,9637","4,218"
"0,95486","5,2524","4,4122"
"0,95833","5,5453","4,551"
"0,96181","5,8136","5,1059"
"0,96528","6,0283","5,6332"
"0,96875","6,1604","6,1604"
"0,97222","6,1892","6,2714"
"0,97569","6,1254","6,1882"
"0,97917","5,9879","6,1327"
"0,98264","5,7957","6,1049"
"0,98611","5,5675","5,7164"
"0,98958","5,3223","5,2447"
"0,99306","5,0789","4,9672"
"0,99653","4,8562","4,8562"
1,"4,6691","4,6342"
"1,0035","4,5166","4,4122"
"1,0069","4,3937","4,4122"
"1,0104","4,2956","4,3845"
"1,0139","4,2173","4,218"
"1,0174","4,1538","3,996"
"1,0208","4,1001","4,1625"
"1,0243","4,0515","4,0515"
